"","100","100","100","225","225","225","400","400","400","900","900","900"
"0",3,0.779,0.792,3,0.874,0.879,3,0.894,0.903,3,0.928,0.93
"0",4,0.752,0.765,4,0.86,0.868,4,0.913,0.916,4,0.927,0.934
"0",5,0.713,0.723,5,0.851,0.861,5,0.879,0.891,5,0.922,0.932
"0.14",6,0.681,0.695,6,0.82,0.833,7,0.87,0.88,8,0.912,0.92
"0.14",8,0.585,0.605,9,0.755,0.772,9,0.853,0.868,10,0.889,0.906
"0.14",10,0.5,0.515,11,0.746,0.768,12,0.816,0.836,13,0.897,0.908
"0.16",6,0.641,0.657,7,0.835,0.846,8,0.865,0.878,9,0.907,0.911
"0.16",8,0.575,0.599,10,0.748,0.774,10,0.826,0.846,12,0.888,0.893
"0.16",10,0.475,0.491,12,0.72,0.739,13,0.807,0.829,15,0.885,0.9
"0.24",9,0.555,0.57,11,0.734,0.754,13,0.834,0.858,15,0.888,0.904
"0.24",12,0.405,0.423,15,0.64,0.664,17,0.732,0.761,20,0.843,0.864
"0.24",15,0.267,0.285,18,0.545,0.579,21,0.683,0.719,26,0.827,0.85
"0.3",12,0.4,0.423,15,0.621,0.662,18,0.741,0.77,23,0.839,0.852
"0.3",16,0.237,0.258,20,0.514,0.549,24,0.617,0.658,31,0.772,0.814
"0.3",20,0.107,0.114,25,0.372,0.403,30,0.508,0.55,38,0.695,0.728
"0.4",19,0.152,0.165,26,0.292,0.334,33,0.421,0.466,46,0.617,0.668
"0.4",25,0.04,0.044,35,0.133,0.149,44,0.226,0.269,61,0.427,0.478
"0.4",32,0.003,0.004,44,0.029,0.039,55,0.088,0.108,76,0.239,0.284
