"","100","100","100","225","225","225","400","400","400","900","900","900"
"0",3,0.89,0.892,3,0.93,0.937,3,0.931,0.935,3,0.954,0.955
"0",4,0.858,0.864,4,0.924,0.928,4,0.932,0.937,4,0.941,0.947
"0",5,0.821,0.829,5,0.915,0.92,5,0.922,0.932,5,0.938,0.943
"0.14",6,0.769,0.782,6,0.903,0.916,7,0.934,0.946,8,0.94,0.946
"0.14",8,0.721,0.738,9,0.879,0.89,9,0.911,0.919,10,0.923,0.931
"0.14",10,0.662,0.676,11,0.835,0.855,12,0.903,0.911,13,0.918,0.927
"0.16",6,0.8,0.806,7,0.887,0.897,8,0.915,0.927,9,0.931,0.935
"0.16",8,0.747,0.754,10,0.847,0.865,10,0.897,0.911,12,0.919,0.931
"0.16",10,0.653,0.668,12,0.81,0.825,13,0.892,0.909,15,0.921,0.932
"0.24",9,0.697,0.722,11,0.812,0.832,13,0.896,0.916,15,0.934,0.94
"0.24",12,0.549,0.572,15,0.787,0.806,17,0.843,0.862,20,0.924,0.94
"0.24",15,0.433,0.459,18,0.691,0.731,21,0.833,0.846,26,0.904,0.91
"0.3",12,0.555,0.582,15,0.772,0.791,18,0.838,0.861,23,0.886,0.905
"0.3",16,0.36,0.38,20,0.672,0.706,24,0.778,0.803,31,0.843,0.872
"0.3",20,0.192,0.216,25,0.526,0.558,30,0.707,0.743,38,0.85,0.876
"0.4",19,0.28,0.301,26,0.526,0.565,33,0.651,0.69,46,0.791,0.822
"0.4",25,0.086,0.098,35,0.27,0.307,44,0.44,0.484,61,0.703,0.751
"0.4",32,0.008,0.01,44,0.1,0.126,55,0.275,0.312,76,0.518,0.578
