"","100","100","100","225","225","225","400","400","400","900","900","900"
"0",3,0.778,0.83,3,0.858,0.887,3,0.873,0.91,3,0.889,0.921
"0",4,0.764,0.808,4,0.857,0.895,4,0.885,0.915,4,0.879,0.918
"0",5,0.739,0.785,5,0.823,0.868,5,0.871,0.902,5,0.893,0.916
"0.14",6,0.699,0.749,6,0.835,0.869,7,0.858,0.882,8,0.904,0.92
"0.14",8,0.639,0.694,9,0.79,0.825,9,0.851,0.88,10,0.876,0.896
"0.14",10,0.605,0.654,11,0.771,0.806,12,0.832,0.871,13,0.872,0.897
"0.16",6,0.708,0.749,7,0.794,0.843,8,0.848,0.873,9,0.894,0.92
"0.16",8,0.639,0.687,10,0.746,0.809,10,0.824,0.869,12,0.882,0.912
"0.16",10,0.564,0.622,12,0.73,0.784,13,0.799,0.831,15,0.884,0.904
"0.24",9,0.614,0.679,11,0.771,0.812,13,0.816,0.845,15,0.868,0.891
"0.24",12,0.438,0.506,15,0.69,0.741,17,0.797,0.836,20,0.844,0.885
"0.24",15,0.348,0.394,18,0.618,0.682,21,0.743,0.792,26,0.818,0.854
"0.3",12,0.461,0.527,15,0.674,0.73,18,0.751,0.807,23,0.827,0.854
"0.3",16,0.307,0.353,20,0.572,0.637,24,0.69,0.746,31,0.791,0.845
"0.3",20,0.16,0.198,25,0.472,0.541,30,0.589,0.664,38,0.748,0.798
"0.4",19,0.19,0.23,26,0.412,0.474,33,0.534,0.61,46,0.676,0.745
"0.4",25,0.063,0.085,35,0.197,0.247,44,0.352,0.434,61,0.54,0.638
"0.4",32,0.007,0.008,44,0.066,0.09,55,0.17,0.229,76,0.394,0.486
