"","100","100","100","225","225","225","400","400","400","900","900","900"
"0",3,0.825,0.857,3,0.857,0.902,3,0.879,0.912,3,0.892,0.93
"0",4,0.773,0.825,4,0.857,0.9,4,0.878,0.911,4,0.876,0.915
"0",5,0.742,0.786,5,0.846,0.885,5,0.866,0.895,5,0.888,0.913
"0.14",6,0.694,0.735,6,0.831,0.872,7,0.871,0.902,8,0.875,0.901
"0.14",8,0.627,0.681,9,0.814,0.844,9,0.85,0.879,10,0.866,0.895
"0.14",10,0.566,0.63,11,0.763,0.8,12,0.84,0.868,13,0.865,0.893
"0.16",6,0.729,0.771,7,0.813,0.86,8,0.838,0.879,9,0.876,0.895
"0.16",8,0.652,0.709,10,0.768,0.818,10,0.835,0.857,12,0.867,0.881
"0.16",10,0.567,0.618,12,0.723,0.765,13,0.799,0.849,15,0.863,0.883
"0.24",9,0.602,0.662,11,0.735,0.779,13,0.828,0.864,15,0.877,0.896
"0.24",12,0.464,0.514,15,0.681,0.742,17,0.744,0.791,20,0.869,0.89
"0.24",15,0.331,0.399,18,0.613,0.656,21,0.751,0.794,26,0.832,0.872
"0.3",12,0.468,0.517,15,0.678,0.74,18,0.772,0.8,23,0.818,0.845
"0.3",16,0.287,0.337,20,0.558,0.621,24,0.703,0.744,31,0.753,0.802
"0.3",20,0.147,0.179,25,0.429,0.491,30,0.596,0.673,38,0.749,0.815
"0.4",19,0.211,0.249,26,0.419,0.499,33,0.549,0.616,46,0.705,0.758
"0.4",25,0.055,0.077,35,0.191,0.249,44,0.335,0.411,61,0.577,0.669
"0.4",32,0.005,0.007,44,0.067,0.092,55,0.211,0.254,76,0.379,0.487
