"","100","100","100","225","225","225","400","400","400","900","900","900"
"0",3,0.867,0.87,3,0.915,0.919,3,0.928,0.931,3,0.947,0.953
"0",4,0.834,0.847,4,0.919,0.923,4,0.936,0.943,4,0.94,0.942
"0",5,0.815,0.827,5,0.897,0.906,5,0.931,0.94,5,0.941,0.943
"0.14",6,0.792,0.806,6,0.9,0.91,7,0.91,0.918,8,0.954,0.964
"0.14",8,0.728,0.744,9,0.856,0.868,9,0.915,0.922,10,0.933,0.943
"0.14",10,0.685,0.694,11,0.85,0.862,12,0.898,0.913,13,0.929,0.936
"0.16",6,0.778,0.788,7,0.877,0.888,8,0.904,0.92,9,0.948,0.956
"0.16",8,0.726,0.741,10,0.85,0.868,10,0.905,0.916,12,0.938,0.946
"0.16",10,0.66,0.671,12,0.827,0.838,13,0.877,0.893,15,0.938,0.945
"0.24",9,0.716,0.745,11,0.854,0.865,13,0.884,0.888,15,0.928,0.943
"0.24",12,0.561,0.592,15,0.778,0.799,17,0.878,0.889,20,0.913,0.924
"0.24",15,0.423,0.448,18,0.719,0.745,21,0.828,0.849,26,0.894,0.902
"0.3",12,0.562,0.584,15,0.775,0.802,18,0.845,0.863,23,0.895,0.912
"0.3",16,0.391,0.41,20,0.669,0.69,24,0.78,0.797,31,0.883,0.905
"0.3",20,0.218,0.24,25,0.568,0.604,30,0.701,0.745,38,0.836,0.862
"0.4",19,0.245,0.267,26,0.508,0.544,33,0.642,0.692,46,0.782,0.811
"0.4",25,0.091,0.1,35,0.27,0.304,44,0.471,0.513,61,0.662,0.712
"0.4",32,0.009,0.012,44,0.104,0.126,55,0.243,0.277,76,0.506,0.562
