"","100","100","100","225","225","225","400","400","400","900","900","900"
"0",3,0.792,0.799,3,0.89,0.891,3,0.902,0.905,3,0.932,0.936
"0",4,0.77,0.778,4,0.875,0.884,4,0.891,0.897,4,0.928,0.933
"0",5,0.732,0.743,5,0.847,0.86,5,0.889,0.898,5,0.926,0.934
"0.14",6,0.699,0.709,6,0.823,0.835,7,0.874,0.882,8,0.922,0.929
"0.14",8,0.596,0.609,9,0.772,0.788,9,0.843,0.855,10,0.907,0.914
"0.14",10,0.5,0.528,11,0.764,0.779,12,0.828,0.849,13,0.889,0.902
"0.16",6,0.694,0.704,7,0.829,0.843,8,0.875,0.884,9,0.905,0.913
"0.16",8,0.598,0.612,10,0.775,0.791,10,0.841,0.854,12,0.907,0.914
"0.16",10,0.519,0.538,12,0.706,0.73,13,0.823,0.835,15,0.877,0.895
"0.24",9,0.588,0.602,11,0.75,0.774,13,0.82,0.844,15,0.895,0.902
"0.24",12,0.445,0.463,15,0.665,0.695,17,0.781,0.801,20,0.868,0.887
"0.24",15,0.316,0.331,18,0.586,0.626,21,0.696,0.729,26,0.817,0.843
"0.3",12,0.466,0.486,15,0.661,0.68,18,0.726,0.76,23,0.856,0.876
"0.3",16,0.27,0.292,20,0.517,0.549,24,0.661,0.694,31,0.803,0.827
"0.3",20,0.169,0.185,25,0.39,0.428,30,0.532,0.574,38,0.748,0.785
"0.4",19,0.18,0.198,26,0.371,0.407,33,0.487,0.538,46,0.657,0.701
"0.4",25,0.052,0.061,35,0.182,0.204,44,0.285,0.326,61,0.484,0.537
"0.4",32,0.008,0.011,44,0.054,0.068,55,0.137,0.166,76,0.294,0.357
